region; year; population; gdp; rdensity; capita
NCR;2010; 11855975; 3053160348; 179.73; 257520.82
NCR;2015; 12877253; 4532443704; 185.63; 351972.87
NCR;2020; 13484462; 5797058343; 188.24; 429906.54
CAR;2010; 1616867; 189766817; 9.85; 117366.99
CAR;2015; 1722006; 243673958; 11.25; 141505.87
CAR;2020; 1797660; 296523327; 11.45; 164949.62
I;2010; 4748372; 312628376; 12.50; 65839.06
I;2015; 5026128; 449373363; 12.84; 89407.46
I;2020; 5301139; 597981618; 13.11; 112802.48
II;2010; 3229163; 192880304; 6.39; 59730.74
II;2015; 3451410; 303113509; 6.40; 87823.10
II;2020; 3685744; 367095722; 6.77; 99598.81
III;2010; 10137737; 979287700; 10.33; 96598.25
III;2015; 11218177; 1511232438; 10.70; 134712.84
III;2020; 12422172; 1862908072; 10.70; 149966.37
IV-A;2010; 12609803; 1486403920; 14.60; 117876.86
IV-A;2015; 14414774; 2076801161; 15.13; 144074.49
IV-A;2020; 16195042; 2565124332; 15.34; 158389.48
IV-B;2010; 2744671; 191713018; 7.62; 69849.18
IV-B;2015; 2963360; 274605684; 7.76; 92667.00
IV-B;2020; 3228558; 341983262; 7.76; 105924.46
V;2010; 5420411; 246110918; 12.74; 45404.48
V;2015; 5796989; 395256951; 12.96; 68183.15
V;2020; 6082165; 515793741; 13.35; 84804.30
VI;2010; 7102438; 433178888; 14.08; 60990.17
VI;2015; 7536383; 667996261; 14.97; 88636.19
VI;2020; 7954723; 850746746; 23.97; 106948.63
VII;2010; 6800180; 539482115; 14.28; 79333.50
VII;2015; 7396898; 889023020; 16.62; 120188.63
VII;2020; 8081988; 1164719190; 22.30; 144112.96
VIII;2010; 4101322; 254164654; 10.43; 61971.40
VIII;2015; 4440150; 324929357; 10.89; 73179.82
VIII;2020; 4547150; 413291591; 11.02; 90890.25
IX;2010; 3407353; 195081265; 8.10; 57253.03
IX;2015; 3629783; 300939935; 9.73; 82908.52
IX;2020; 3875576; 394567642; 9.77; 101808.77
X;2010; 4297323; 394980142; 9.26; 91913.07
X;2015; 4689302; 609017243; 9.58; 129873.75
X;2020; 5022768; 861506489; 9.67; 171520.26
XI;2010; 4468563; 403461237; 8.12; 90288.81
XI;2015; 4893318; 602911849; 8.24; 123211.25
XI;2020; 5243536; 889457659; 8.34; 169629.36
XII;2010; 4109571; 252178036; 6.74; 61363.59
XII;2015; 4545276; 354753546; 6.76; 78048.85
XII;2020; 4901486; 467905541; 6.83; 95461.98
XIII;2010; 2429224; 143337552; 6.68; 59005.49
XIII;2015; 2596709; 235177755; 7.20; 90567.62
XIII;2020; 2804788; 291665099; 7.20; 103988.29
